Genre,Number of Artists
pop,84
dance pop,42
pop dance,37
edm,20
rap,19
uk dance,19
uk pop,19
pop rap,17
hip hop,14
house,13
r&b,13
urban contemporary,7
hip pop,6
tropical house,6
rock,6
canadian pop,6
electro house,6
trap queen,5
southern hip hop,5
modern rock,5
reggaeton,4
australian pop,4
trap,4
electropop,4
gangster rap,4
east coast hip hop,4
k-pop,4
urbano latino,4
trap latino,4
slap house,4
uk contemporary r&b,4
afrobeats,4
alt z,4
pov: indie,4
singer-songwriter pop,4
k-pop girl group,3
nigerian pop,3
progressive electro house,3
hypertechno,3
bedroom pop,3
eurodance,3
indietronica,3
viral pop,3
old school hip hop,3
talent show,3
art pop,3
atl hip hop,3
melodic rap,3
modern alternative rock,3
brostep,3
big room,3
australian dance,3
detroit hip hop,2
permanent wave,2
k-pop boy group,2
new wave pop,2
pop house,2
hip house,2
lgbtq+ hip hop,2
seattle hip hop,2
conscious hip hop,2
deep house,2
post-teen pop,2
hard rock,2
modern alternative pop,2
pop edm,2
cali rap,2
piano rock,2
aussietronica,2
electro,2
alternative rock,2
boy band,2
bronx hip hop,2
complextro,2
indie poptimism,2
reggae fusion,2
uk hip hop,2
scandipop,2
dance rock,2
metropopolis,2
nigerian hip hop,2
uk funky,2
tech house,2
hardcore hip hop,2
west coast rap,2
escape room,2
rap metal,2
post-grunge,2
alternative dance,2
nu metal,2
alternative metal,2
german dance,2
contemporary country,2
old school atlanta hip hop,2
swedish pop,2
trance,2
dirty south rap,2
crunk,2
girl group,2
miami hip hop,2
azontobeats,1
breaks,1
pop reggaeton,1
afropop,1
grime,1
experimental house,1
dancehall,1
puerto rican pop,1
nyc rap,1
norwegian pop,1
virginia hip hop,1
neo soul,1
sped up,1
azonto,1
country pop,1
electronic trap,1
social media pop,1
country,1
indie electropop,1
pop soul,1
british soul,1
video game music,1
speedrun,1
underground hip hop,1
alternative r&b,1
modern country rock,1
classic texas country,1
german techno,1
theme,1
canadian contemporary r&b,1
rage rap,1
philly rap,1
australian hip hop,1
new jersey underground rap,1
colombian pop,1
europop,1
indie soul,1
indie pop,1
country road,1
gauze pop,1
nz pop,1
latin pop,1
shiver pop,1
australian electropop,1
classic soundtrack,1
german pop,1
nyc pop,1
barbadian pop,1
pop rock,1
neo mellow,1
north carolina hip hop,1
candy pop,1
atlanta bass,1
houston rap,1
asian american hip hop,1
neo-synthpop,1
minnesota hip hop,1
kentucky hip hop,1
deep underground hip hop,1
french techno,1
french tech house,1
boston hip hop,1
emo,1
canadian hip hop,1
progressive house,1
canadian latin,1
reggaeton colombiano,1
dutch edm,1
queens hip hop,1
deep dance pop,1
dutch house,1
chicago rap,1
g funk,1
belgian edm,1
pop nacional,1
chicago house,1
funk rj,1
dream trance,1
idol,1
rap rock,1
political hip hop,1
funk metal,1
british singer-songwriter,1
stutter house,1
deep groove house,1
australian house,1
swedish electropop,1
vocal house,1
disco house,1
funk carioca,1
soulful house,1
russian edm,1
soft rock,1
glam metal,1
album rock,1
melodic drill,1
funktronica,1
italo dance,1
new jack swing,1
harlem hip hop,1
mellow gold,1
glam rock,1
funky house,1
modern indie pop,1
